#,year,month,category,is_korean,paid_amount
393,2019,9,콘도,1,13547270
394,2019,9,수상운송,1,4833192
395,2019,9,스키장,1,529926
396,2019,10,호텔,1,43062261
397,2019,10,기타숙박,1,70773624
398,2019,10,여행업,1,13718261
399,2019,10,항공운송,1,51239894
400,2019,10,면세점,1,54465332
401,2019,10,관광기념품,1,6683813
402,2019,10,레저용품쇼핑,1,221552400
403,2019,10,대형쇼핑몰,1,808923796
404,2019,10,관광유원시설,1,9735619
405,2019,10,골프장,1,159331122
406,2019,10,기타레저,1,56707197
407,2019,10,문화서비스,1,46144808
408,2019,10,식음료,1,1833539337
409,2019,10,콘도,1,15101572
410,2019,10,육상운송,1,79287309
411,2019,10,렌터카,1,6393264
412,2019,10,수상운송,1,6499666
413,2019,10,스키장,1,760801
414,2019,11,호텔,1,42373662
415,2019,11,기타숙박,1,66673029
416,2019,11,여행업,1,12517780
417,2019,11,항공운송,1,49659618
418,2019,11,면세점,1,55942470
419,2019,11,관광기념품,1,6744791
420,2019,11,레저용품쇼핑,1,225817758
421,2019,11,대형쇼핑몰,1,846047989
422,2019,11,관광유원시설,1,10374704
423,2019,11,골프장,1,137195384
424,2019,11,기타레저,1,25482843
425,2019,11,문화서비스,1,44087627
426,2019,11,식음료,1,1767548837
427,2019,11,콘도,1,12802128
428,2019,11,렌터카,1,5859650
429,2019,11,육상운송,1,75370375
430,2019,11,캠핑장/펜션,1,549496
431,2019,11,수상운송,1,5201286
432,2019,11,스키장,1,831269
433,2019,12,호텔,1,58802014
434,2019,12,기타숙박,1,68674688
435,2019,12,여행업,1,15306942
436,2019,12,항공운송,1,67666090
437,2019,12,면세점,1,57458753
438,2019,12,관광기념품,1,5982249
439,2019,12,레저용품쇼핑,1,190576232
440,2019,12,대형쇼핑몰,1,879558050
441,2019,12,관광유원시설,1,10884716
442,2019,12,골프장,1,73187362
443,2019,12,기타레저,1,27868747
444,2019,12,문화서비스,1,49146462
445,2019,12,식음료,1,1918751213
446,2019,12,렌터카,1,6328943
447,2019,12,육상운송,1,77925095
448,2019,12,캠핑장/펜션,1,473935
449,2019,12,수상운송,1,3708848
450,2019,12,스키장,1,4147579
451,2019,12,콘도,1,18327868
452,2019,1,캠핑장/펜션,1,248512
453,2019,2,캠핑장/펜션,1,257632
454,2019,3,캠핑장/펜션,1,276252
455,2019,4,캠핑장/펜션,1,306178
456,2019,5,캠핑장/펜션,1,397233
457,2019,6,캠핑장/펜션,1,409815
458,2019,7,캠핑장/펜션,1,512749
459,2019,8,캠핑장/펜션,1,749680
460,2019,9,캠핑장/펜션,1,315883
461,2019,10,캠핑장/펜션,1,381746
462,2020,1,호텔,1,47498667
463,2020,1,기타숙박,1,60005524
464,2020,1,여행업,1,12961904
465,2020,1,항공운송,1,49286165
466,2020,1,면세점,1,55614787
467,2020,1,관광기념품,1,5167981
468,2020,1,레저용품쇼핑,1,146512942
469,2020,1,대형쇼핑몰,1,798708763
470,2020,1,관광유원시설,1,9131803
471,2020,1,골프장,1,56188977
472,2020,1,기타레저,1,30293653
473,2020,1,문화서비스,1,40887862
474,2020,1,식음료,1,1694394523
475,2020,1,콘도,1,21506146
476,2020,1,렌터카,1,5935070
477,2020,1,육상운송,1,75140057
478,2020,1,캠핑장/펜션,1,462038
479,2020,1,수상운송,1,3610356
480,2020,1,스키장,1,6066934
481,2020,2,호텔,1,29262061
482,2020,2,기타숙박,1,48987781
483,2020,2,여행업,1,4169168
484,2020,2,항공운송,1,21019825
485,2020,2,면세점,1,23866978
486,2020,2,관광기념품,1,3158146
487,2020,2,레저용품쇼핑,1,115097716
488,2020,2,대형쇼핑몰,1,579579011
489,2020,2,관광유원시설,1,4323743
490,2020,2,골프장,1,70622598
491,2020,2,기타레저,1,19203192
492,2020,2,문화서비스,1,19667310
493,2020,2,식음료,1,1354637407
494,2020,2,콘도,1,10903236
495,2020,2,렌터카,1,4816586
496,2020,2,육상운송,1,42548722
497,2020,2,캠핑장/펜션,1,357585
498,2020,2,수상운송,1,2461899
499,2020,2,스키장,1,2616633
500,2020,3,호텔,1,15889568
501,2020,3,기타숙박,1,40993992
502,2020,3,여행업,1,2298522
503,2020,3,항공운송,1,12149649
504,2020,3,렌터카,1,4569733
505,2020,3,면세점,1,8707378
506,2020,3,관광기념품,1,2517394
507,2020,3,레저용품쇼핑,1,131034942
508,2020,3,대형쇼핑몰,1,571800570
509,2020,3,관광유원시설,1,3340519
510,2020,3,골프장,1,116349472
511,2020,3,기타레저,1,14447190
512,2020,3,문화서비스,1,9059767
513,2020,3,식음료,1,1235451068
514,2020,3,육상운송,1,24757167
515,2020,3,캠핑장/펜션,1,404202
516,2020,3,수상운송,1,2506809
517,2020,3,스키장,1,102520
518,2020,3,콘도,1,4654994
519,2020,4,호텔,1,18503018
520,2020,4,기타숙박,1,44448632
521,2020,4,여행업,1,2061421
522,2020,4,항공운송,1,9741564
523,2020,4,렌터카,1,4926423
524,2020,4,면세점,1,7332743
525,2020,4,관광기념품,1,3160550
526,2020,4,레저용품쇼핑,1,179348302
527,2020,4,대형쇼핑몰,1,653775461
528,2020,4,관광유원시설,1,4359212
529,2020,4,골프장,1,152807016
530,2020,4,기타레저,1,16467288
531,2020,4,문화서비스,1,8946448
532,2020,4,식음료,1,1402218580
533,2020,4,육상운송,1,33373164
534,2020,4,캠핑장/펜션,1,528637
535,2020,4,수상운송,1,3332748
536,2020,4,스키장,1,112677
537,2020,4,콘도,1,5610598
538,2020,5,호텔,1,29987599
539,2020,5,기타숙박,1,54617664
540,2020,5,여행업,1,2146473
541,2020,5,항공운송,1,14232542
542,2020,5,면세점,1,13129614
543,2020,5,관광기념품,1,4908196
544,2020,5,레저용품쇼핑,1,268120204
545,2020,5,대형쇼핑몰,1,788560846
546,2020,5,관광유원시설,1,7535545
547,2020,5,골프장,1,178854220
548,2020,5,기타레저,1,23127057
549,2020,5,문화서비스,1,14378525
550,2020,5,식음료,1,1691730013
551,2020,5,콘도,1,11410302
552,2020,5,렌터카,1,5626712
553,2020,5,육상운송,1,43971471
554,2020,5,캠핑장/펜션,1,847957
555,2020,5,수상운송,1,4994802
556,2020,5,스키장,1,259203
557,2020,6,호텔,1,32011013
558,2020,6,기타숙박,1,53255100
559,2020,6,여행업,1,2065170
560,2020,6,항공운송,1,12846934
561,2020,6,면세점,1,14841668
562,2020,6,관광기념품,1,4425697
563,2020,6,레저용품쇼핑,1,189336327
564,2020,6,대형쇼핑몰,1,692305830
565,2020,6,관광유원시설,1,5721244
566,2020,6,골프장,1,177277739
567,2020,6,기타레저,1,20317261
568,2020,6,문화서비스,1,15609507
569,2020,6,식음료,1,1559614479
570,2020,6,콘도,1,12289409
571,2020,6,렌터카,1,5993123
572,2020,6,육상운송,1,44026441
573,2020,6,캠핑장/펜션,1,810826
574,2020,6,수상운송,1,4376562
575,2020,6,스키장,1,238366
576,2020,7,호텔,1,36832633
577,2020,7,기타숙박,1,58930301
578,2020,7,여행업,1,2446501
579,2020,7,항공운송,1,16203759
580,2020,7,렌터카,1,7118575
581,2020,7,면세점,1,15708467
582,2020,7,관광기념품,1,4855464
583,2020,7,레저용품쇼핑,1,157126291
584,2020,7,대형쇼핑몰,1,682700718
585,2020,7,관광유원시설,1,6971656
586,2020,7,골프장,1,162997667
587,2020,7,기타레저,1,22265822
588,2020,7,문화서비스,1,21764972
589,2020,7,식음료,1,1678888311
590,2020,7,콘도,1,18451588
591,2020,7,육상운송,1,48819634
592,2020,7,캠핑장/펜션,1,1038946
593,2020,7,수상운송,1,4627016
594,2020,7,스키장,1,282477
595,2020,7,카지노,1,0
596,2020,8,호텔,1,44747110
597,2020,8,기타숙박,1,69688875
598,2020,8,여행업,1,2759314
599,2020,8,항공운송,1,11906313
600,2020,8,렌터카,1,8661916
601,2020,8,면세점,1,19050651
602,2020,8,관광기념품,1,5116493
603,2020,8,레저용품쇼핑,1,130192012
604,2020,8,대형쇼핑몰,1,698462620
605,2020,8,관광유원시설,1,9267177
606,2020,8,골프장,1,152358019
607,2020,8,기타레저,1,21528329
608,2020,8,문화서비스,1,27299364
609,2020,8,식음료,1,1600289736
610,2020,8,콘도,1,28616947
611,2020,8,육상운송,1,42743663
612,2020,8,캠핑장/펜션,1,1478023
613,2020,8,수상운송,1,5755828
614,2020,8,스키장,1,469785
615,2020,9,호텔,1,23201331
616,2020,9,기타숙박,1,46946106
617,2020,9,여행업,1,1972229
618,2020,9,항공운송,1,10116450
619,2020,9,렌터카,1,6137326
620,2020,9,면세점,1,13760044
621,2020,9,관광기념품,1,3771916
622,2020,9,레저용품쇼핑,1,154575168
623,2020,9,대형쇼핑몰,1,733228134
624,2020,9,관광유원시설,1,4348198
625,2020,9,골프장,1,159726934
626,2020,9,기타레저,1,13390209
627,2020,9,문화서비스,1,12823282
628,2020,9,식음료,1,1273682423
629,2020,9,육상운송,1,35157563
630,2020,9,캠핑장/펜션,1,651321
631,2020,9,수상운송,1,3546099
632,2020,9,스키장,1,168572
633,2020,9,콘도,1,10104770
634,2020,10,호텔,1,35208241
635,2020,10,기타숙박,1,58482631
636,2020,10,여행업,1,2364909
637,2020,10,항공운송,1,14743074
638,2020,10,렌터카,1,7182617
639,2020,10,면세점,1,20367151
640,2020,10,관광기념품,1,5233970
641,2020,10,레저용품쇼핑,1,225046173
642,2020,10,대형쇼핑몰,1,803480277
643,2020,10,관광유원시설,1,8918192
644,2020,10,골프장,1,192840145
645,2020,10,기타레저,1,20760099
646,2020,10,문화서비스,1,22980455
647,2020,10,식음료,1,1594946978
648,2020,10,콘도,1,15615720
649,2020,10,육상운송,1,45099422
650,2020,10,캠핑장/펜션,1,908554
651,2020,10,수상운송,1,5526465
652,2020,10,스키장,1,541755
653,2020,11,호텔,1,34759279
654,2020,11,기타숙박,1,55465684
655,2020,11,여행업,1,2116460
656,2020,11,항공운송,1,11834212
657,2020,11,렌터카,1,7546879
658,2020,11,면세점,1,22958063
659,2020,11,관광기념품,1,5601365
660,2020,11,레저용품쇼핑,1,196113806
661,2020,11,대형쇼핑몰,1,762145331
662,2020,11,관광유원시설,1,6547099
663,2020,11,골프장,1,160277358
664,2020,11,기타레저,1,17037849
665,2020,11,문화서비스,1,15855948
666,2020,11,식음료,1,1446886738
667,2020,11,콘도,1,13162453
668,2020,11,육상운송,1,42847477
669,2020,11,캠핑장/펜션,1,592659
670,2020,11,수상운송,1,4104747
671,2020,11,스키장,1,338852
672,2020,12,호텔,1,26534648
673,2020,12,기타숙박,1,44951686
674,2020,12,여행업,1,1628158
675,2020,12,항공운송,1,6559265
676,2020,12,렌터카,1,5798353
677,2020,12,면세점,1,14760808
678,2020,12,관광기념품,1,3397628
679,2020,12,레저용품쇼핑,1,142760517
680,2020,12,대형쇼핑몰,1,690936532
681,2020,12,관광유원시설,1,3158354
682,2020,12,골프장,1,83442055
683,2020,12,기타레저,1,8651949
684,2020,12,문화서비스,1,9064609
685,2020,12,식음료,1,1001106624
686,2020,12,육상운송,1,28962577
687,2020,12,캠핑장/펜션,1,441300
688,2020,12,수상운송,1,2630392
689,2020,12,스키장,1,898785
690,2020,12,콘도,1,9025468
691,2021,1,호텔,1,23720802
692,2021,1,기타숙박,1,43784253
693,2021,1,여행업,1,1533105
694,2021,1,항공운송,1,9049050
695,2021,1,렌터카,1,5197440
696,2021,1,면세점,1,11750372
697,2021,1,관광기념품,1,3021363
698,2021,1,레저용품쇼핑,1,113318567
699,2021,1,대형쇼핑몰,1,677539358
700,2021,1,관광유원시설,1,3618587
701,2021,1,골프장,1,55915060
702,2021,1,기타레저,1,10854740
703,2021,1,문화서비스,1,11177907
704,2021,1,식음료,1,1006335841
705,2021,1,콘도,1,7901479
706,2021,1,육상운송,1,33315386
707,2021,1,캠핑장/펜션,1,391943
708,2021,1,수상운송,1,2220446
709,2021,1,스키장,1,1324978
710,2021,2,호텔,1,31760099
711,2021,2,기타숙박,1,45323893
712,2021,2,여행업,1,1526986
713,2021,2,항공운송,1,11872296
714,2021,2,렌터카,1,6191426
715,2021,2,면세점,1,16137485
716,2021,2,관광기념품,1,4144027
717,2021,2,레저용품쇼핑,1,131279880
718,2021,2,대형쇼핑몰,1,710253387
719,2021,2,관광유원시설,1,6244738
720,2021,2,골프장,1,98796913
721,2021,2,기타레저,1,15356976
722,2021,2,문화서비스,1,16093465
723,2021,2,식음료,1,1143516931
724,2021,2,콘도,1,11307844
725,2021,2,육상운송,1,34992213
726,2021,2,캠핑장/펜션,1,534459
727,2021,2,수상운송,1,2821034
728,2021,2,스키장,1,1501802
729,2021,3,호텔,1,32216017
730,2021,3,기타숙박,1,51003581
731,2021,3,여행업,1,2122582
732,2021,3,항공운송,1,15486095
733,2021,3,렌터카,1,7095342
734,2021,3,면세점,1,20790795
735,2021,3,관광기념품,1,4752378
736,2021,3,레저용품쇼핑,1,177502521
737,2021,3,대형쇼핑몰,1,763299603
738,2021,3,관광유원시설,1,6380121
739,2021,3,골프장,1,160423809
740,2021,3,기타레저,1,18310230
741,2021,3,문화서비스,1,17187652
742,2021,3,식음료,1,1391607215
743,2021,3,육상운송,1,43308286
744,2021,3,캠핑장/펜션,1,442883
745,2021,3,수상운송,1,3664434
746,2021,3,스키장,1,75343
747,2021,3,콘도,1,9423843
748,2021,4,호텔,1,34071659
